X,Y,tld,domain,lat,lon
-0.124463,51.528146,london,saferservices,51.528146,-0.124463
-0.1190735,51.5281439,london,studentprinters,51.5281439,-0.1190735
-0.1190735,51.5281439,london,brandingdesign,51.5281439,-0.1190735
-0.11985,51.528135,london,pavegen,51.528135,-0.11985
-0.11985,51.528135,london,drlogic,51.528135,-0.11985
-0.084675,51.528088,london,holidayrental,51.528088,-0.084675
-0.084675,51.528088,london,holidayapartment,51.528088,-0.084675
-0.084675,51.528088,london,classiccarhire,51.528088,-0.084675
-0.084675,51.528088,london,loveapartments,51.528088,-0.084675
-0.142963,51.528081,london,bargainbase,51.528081,-0.142963
-0.142963,51.528081,london,mathilde,51.528081,-0.142963
-0.210116,51.528072,london,thesupermamasclub,51.528072,-0.210116
-0.132195,51.528054,london,myjourney,51.528054,-0.132195
-0.132195,51.528054,london,verus360,51.528054,-0.132195
-0.132195,51.528054,london,commuteclub,51.528054,-0.132195
-0.132195,51.528054,london,deltarail,51.528054,-0.132195
-0.132195,51.528054,london,commuter,51.528054,-0.132195
-0.132195,51.528054,london,immerse,51.528054,-0.132195
-0.132195,51.528054,london,mycommute,51.528054,-0.132195
-0.122689,51.528051,london,photomodels,51.528051,-0.122689
-0.330985,51.528038,london,spaceshowroom,51.528038,-0.330985
-0.330985,51.528038,london,thespaceshowroom,51.528038,-0.330985
-0.0816764,51.5280278,london,pauldaly,51.5280278,-0.0816764
-0.278237,51.528004,london,mrshifterlondon,51.528004,-0.278237
-0.278237,51.528004,london,mrshifter,51.528004,-0.278237
-0.278237,51.528004,london,mistershifter,51.528004,-0.278237
-0.278237,51.528004,london,mistershifterlondon,51.528004,-0.278237
-0.210941,51.527995,london,assemblycoffee,51.527995,-0.210941
-0.17402,51.527993,london,littleoldladyhelper,51.527993,-0.17402
-0.126921,51.527987,london,taxadvisors,51.527987,-0.126921
-0.11089,51.527982,london,domeconnect,51.527982,-0.11089
-0.11089,51.527982,london,domegroup,51.527982,-0.11089
-0.11089,51.527982,london,domeconsulting,51.527982,-0.11089
-0.11089,51.527982,london,isnag,51.527982,-0.11089
-0.113096,51.527973,london,eigenbikes,51.527973,-0.113096
-0.235536,51.527972,london,smartcctv,51.527972,-0.235536
-0.116873,51.52797,london,cmfutsal,51.52797,-0.116873
-0.116873,51.52797,london,regentsparkfc,51.52797,-0.116873
-0.116873,51.52797,london,exceedhigher,51.52797,-0.116873
0.0628489,51.5279621,london,zsmcapital,51.5279621,0.0628489
-0.174915,51.527962,london,liquidglass,51.527962,-0.174915
0.007284,51.527962,london,stoplooklisten,51.527962,0.007284
-0.174915,51.527962,london,facilit8,51.527962,-0.174915
-0.174915,51.527962,london,mediate,51.527962,-0.174915
0.007284,51.527962,london,stardustmusic,51.527962,0.007284
-0.105196238,51.52796173,london,coffeeandcream,51.52796173,-0.105196238
-0.128392,51.527957,london,novasecta,51.527957,-0.128392
-0.075181,51.527941,london,conflictcoachinglondon,51.527941,-0.075181
-0.075181,51.527941,london,confllctcoachinglondon,51.527941,-0.075181
-0.056929,51.527937,london,rahmans,51.527937,-0.056929
-0.077272281,51.52793121,london,splice,51.52793121,-0.077272281
-0.077272,51.52793,london,cbdint,51.52793,-0.077272
-0.052086,51.527911,london,mindfulworkplace,51.527911,-0.052086
-0.091733,51.527906,london,brunchandbrains,51.527906,-0.091733
-0.1304,51.527881,london,keolisameydocklands,51.527881,-0.1304
-0.1304,51.527881,london,keolisameydlr,51.527881,-0.1304
-0.2941,51.527867,london,acebrothers,51.527867,-0.2941
-0.2941,51.527867,london,acebros,51.527867,-0.2941
-0.093768,51.527858,london,levelmanagement,51.527858,-0.093768
-0.124201,51.527854,london,londonmirrors,51.527854,-0.124201
-0.050719,51.527852,london,cinematographer,51.527852,-0.050719
-0.050719,51.527852,london,filmmaker,51.527852,-0.050719
-0.050719,51.527852,london,counsellingeast,51.527852,-0.050719
-0.050719,51.527852,london,directorofphotography,51.527852,-0.050719
-0.050719,51.527852,london,cameraoperator,51.527852,-0.050719
-0.116071,51.527841,london,dencreative,51.527841,-0.116071
-0.080476,51.527839,london,spinet,51.527839,-0.080476
-0.080476,51.527839,london,loopy,51.527839,-0.080476
-0.080476,51.527839,london,spiweb,51.527839,-0.080476
-0.080476,51.527839,london,pompstyle,51.527839,-0.080476
-0.139181,51.527832,london,roomsinlondon,51.527832,-0.139181
-0.139181,51.527832,london,sharedliving,51.527832,-0.139181
-0.139181,51.527832,london,corporatehousing,51.527832,-0.139181
-0.139181,51.527832,london,businessaccomodation,51.527832,-0.139181
-0.139181,51.527832,london,offplanproperty,51.527832,-0.139181
-0.139181,51.527832,london,offplanpropertyinvestments,51.527832,-0.139181
-0.139181,51.527832,london,londonspareroom,51.527832,-0.139181
-0.139181,51.527832,london,cityspareroom,51.527832,-0.139181
-0.139181,51.527832,london,offplaninvestments,51.527832,-0.139181
-0.122906,51.527815,london,imc,51.527815,-0.122906
-0.1047453,51.5278017,london,yirong,51.5278017,-0.1047453
-0.1047453,51.5278017,london,audiopost,51.5278017,-0.1047453
-0.102334,51.527799,london,thecityuniversitylondon,51.527799,-0.102334
-0.102334,51.527799,london,cityuniversity,51.527799,-0.102334
-0.102334,51.527799,london,culture-resource,51.527799,-0.102334
-0.102334,51.527799,london,researchasylum,51.527799,-0.102334
-0.102334,51.527799,london,icpmg2018,51.527799,-0.102334
-0.102334,51.527799,london,cassbusinessschool,51.527799,-0.102334
-0.102334,51.527799,london,cityuniversityof,51.527799,-0.102334
-0.102334,51.527799,london,cityshortcourses,51.527799,-0.102334
-0.102334,51.527799,london,cityuniversitylondon,51.527799,-0.102334
-0.102334,51.527799,london,thecityuniversity,51.527799,-0.102334
-0.081833,51.527789,london,zigfrid,51.527789,-0.081833
-0.081833,51.527789,london,underbelly,51.527789,-0.081833
-0.081833,51.527789,london,hoxtonsquarecraftbeerco,51.527789,-0.081833
-0.08773,51.527787,london,movebubble,51.527787,-0.08773
-0.08773,51.527787,london,smartbeauty,51.527787,-0.08773
-0.086894,51.527782,london,shop4anagent,51.527782,-0.086894
-0.203438,51.527781,london,womanontheverge,51.527781,-0.203438
-0.008712,51.527776,london,dentalsurgeons,51.527776,-0.008712
-0.060007,51.527772,london,harajuku,51.527772,-0.060007
-0.07774,51.527767,london,viralagency,51.527767,-0.07774
0.0067922,51.527755,london,musicarts,51.527755,0.0067922
-0.129064,51.527743,london,gmattutor,51.527743,-0.129064
-0.078938,51.527742,london,vitaminliving,51.527742,-0.078938
-0.078938,51.527742,london,v2toys,51.527742,-0.078938
-0.078938,51.527742,london,v2studios,51.527742,-0.078938
-0.078938,51.527742,london,worldwidepictures,51.527742,-0.078938
-0.020564,51.527734,london,selufen,51.527734,-0.020564
-0.351526,51.527708,london,benguest,51.527708,-0.351526
-0.080050118,51.52769852,london,wearestream,51.52769852,-0.080050118
-0.08005,51.527697,london,steve-edge,51.527697,-0.08005
-0.08005,51.527697,london,homesolutions,51.527697,-0.08005
-0.08005,51.527697,london,51st,51.527697,-0.08005
-0.08005,51.527697,london,redrock,51.527697,-0.08005
-0.08005,51.527697,london,scallywags,51.527697,-0.08005
-0.08005,51.527697,london,bornandbred,51.527697,-0.08005
-0.08005,51.527697,london,edgedesign,51.527697,-0.08005
-0.088412,51.527681,london,newday,51.527681,-0.088412
-0.0863483,51.5276675,london,shopforanagent,51.5276675,-0.0863483
-0.110658,51.527664,london,andypage,51.527664,-0.110658
-0.110658,51.527664,london,mattpage,51.527664,-0.110658
-0.108149,51.527659,london,dalziel-pow,51.527659,-0.108149
-0.4770001,51.5276478,london,desantis,51.5276478,-0.4770001
