X,Y,X,Y,tld,domain,lat,lon,hex_id
13.375531,52.595737,13.3755310000,52.5957370000,berlin,steinbeisser,52.5957370000,13.3755310000,1516
13.312188,52.595524,13.3121880000,52.5955240000,berlin,pbecker,52.5955240000,13.3121880000,879
13.3642,52.595482,13.3642000000,52.5954820000,berlin,reifenfutzi,52.5954820000,13.3642000000,1418
13.416281,52.595416,13.4162810000,52.5954160000,berlin,tretbootevermietung,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,polente,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,bbq,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,motorbootevermietung,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,bbq-boot,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,xexun,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,ortungsgeraet,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,peilsender,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,bbq-donut,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,jetlev-flyer,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,feldjaeger,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,pozilei,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,tegelersee,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,tegeler-see,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,tretbootvermietung,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,bootvermietung,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,grilldonut,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,bootevermietung,52.5954160000,13.4162810000,1908
13.416281,52.595416,13.4162810000,52.5954160000,berlin,grill-donut,52.5954160000,13.4162810000,1908
